Name,Location,Status,Tech Stack,Website,Phone,Score,Rating,Reviews,Meta Title,Maps URL
Monaco MedSpa,Miami FL,CUSTOM_OR_UNKNOWN,N/A,https://www.monacomedspa.com/?utm_source=GMBlisting&utm_medium=organic&utm_campaign=gmb,(786) 536-6117,30.2,5,151,Error,https://maps.google.com/?cid=3275467807106455088&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Aesthetica Med Spa,Austin TX,HOT_WORDPRESS,WordPress,https://www.amedspa.com/?utm_source=GMB&utm_medium=organic,(512) 899-2639,29.5,4.8,164,"Award-Winning Medical Spa In Austin, TX | Aesthetica Med Spa",https://maps.google.com/?cid=14960904851470444598&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Spa 7,Austin TX,HOT_WIX,Wix,https://www.spa7austin.com/,(512) 535-6869,29.1,4.5,194,Spa 7 Austin | Med Spa | Skincare | Injectables,https://maps.google.com/?cid=2169537654342635638&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Caruna Med Spa & Laser Center,Miami FL,CUSTOM_OR_UNKNOWN,N/A,https://www.carunamedspa.com/,(305) 456-9336,27.7,4.8,154,Error,https://maps.google.com/?cid=11458568685828853865&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Pure MedSpa,Austin TX,HOT_WIX,Wix,http://www.apuremedspa.com/,(512) 516-0218,27.4,5,137,"HOME | Pure MedSpa | Austin, TX",https://maps.google.com/?cid=1196101495030850152&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Bella Vida Aesthetics & Wellness,Miami FL,CUSTOM_OR_UNKNOWN,N/A,https://bellavidaaesthetics.com/,(786) 338-8346,27.2,4.8,151,Connection Error,https://maps.google.com/?cid=15556259482408753649&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Alicia Med Spa,Miami FL,HOT_WORDPRESS,WordPress,https://www.aliciamedspa.com/,(917) 854-9121,26.4,5,132,Alicia Med Spa,https://maps.google.com/?cid=3081954477606854325&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Miami Skin Spa Aesthetics & Wellness,Miami FL,HOT_WORDPRESS,WordPress,https://www.miamiskinspa.com/?utm_source=gmb&utm_medium=organic&utm_campaign=directory,(305) 557-1615,26.3,4.8,146,Top Rated Med Spa Treatments in Brickell at Miami Skin Spa,https://maps.google.com/?cid=10463862649382988209&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Lavish Laser Med Spa Coconut Grove,Miami FL,CUSTOM_OR_UNKNOWN,N/A,https://lavishlasermedspa.com/home/?utm_source=google-business-profile&utm_content=coconut-grove,(786) 550-2480,24.6,5,123,Error,https://maps.google.com/?cid=7425468221100309887&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Glo Med Spa Austin,Austin TX,HOT_WORDPRESS,WordPress,https://www.glomedspaaustin.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,(512) 336-7546,20.2,4.7,119,"Best Medical Spa in Austin, TX | Glo Med Spa",https://maps.google.com/?cid=9062237435911784918&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Muse Medspa,Austin TX,HOT_WORDPRESS,WordPress,https://www.musemedspaaustin.com/,(512) 230-3422,18.4,4.9,97,Med Spa Austin | Medical Spa Westlake | Muse Med Spa,https://maps.google.com/?cid=1908259249945174157&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Austin Luxury Medspa,Austin TX,HOT_WORDPRESS,WordPress,http://austinluxurymedspa.com/,(512) 271-4727,17.8,5,89,"Austin Luxury Medspa - Medical Spa Austin, TX",https://maps.google.com/?cid=13997274536048779392&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Master Face Med Spa,Miami FL,CUSTOM_OR_UNKNOWN,Custom / Unknown,https://masterfacemedspa.com/,(786) 461-4665,15.0,5,75,Non-Surgical Facial Rejuvenation in Miami & Atlanta | Master Face Med Spa,https://maps.google.com/?cid=14445926615379287027&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Infinity Beauty Lab Med Spa,Miami FL,CUSTOM_OR_UNKNOWN,Custom / Unknown,http://www.infinitybeautylab.com/,(561) 232-0263,12.8,5,64,Infinity Beauty Lab | MIAMI'S #1 BOUTIQUE MEDSPA IN BRICKELL,https://maps.google.com/?cid=234037088509461458&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
